
Solver will write file: ss_24F104.lp

Reading data files.[    0.03]
Creating Temoa model instance.[    0.18]
Solving.[    0.17]
Calculating reporting variables and formatting results.[    0.88]
Model name: Temoa
Objective function value (TotalCost): 36535.631200002914
Non-zero variable values:
      1.3064098857142858   V_FlowIn[utopia,1990,inter,day,DSL,RHO,1970,RH]
      1.3064098857142858   V_FlowIn[utopia,1990,inter,day,DSL,RHO,1980,RH]
      1.707180285714286    V_FlowIn[utopia,1990,inter,day,DSL,RHO,1990,RH]
      0.28865800865800867  V_FlowIn[utopia,1990,inter,day,DSL,TXD,1970,TX]
      0.14432900432900433  V_FlowIn[utopia,1990,inter,day,DSL,TXD,1980,TX]
      0.559944             V_FlowIn[utopia,1990,inter,day,ELC,RL1,1980,RL]
      0.280056             V_FlowIn[utopia,1990,inter,day,ELC,RL1,1990,RL]
      2.2370995670995666   V_FlowIn[utopia,1990,inter,day,GSL,TXG,1970,TX]
      1.0824675324675324   V_FlowIn[utopia,1990,inter,day,GSL,TXG,1980,TX]
      1.5386644374999998   V_FlowIn[utopia,1990,inter,day,HCO,E01,1970,ELC]
      0.45183515625        V_FlowIn[utopia,1990,inter,day,HYD,E31,1980,ELC]
      0.135550540625       V_FlowIn[utopia,1990,inter,day,HYD,E31,1990,ELC]
      4.752987             V_FlowIn[utopia,1990,inter,day,ethos,IMPDSL1,1990,DSL]
      3.3195671            V_FlowIn[utopia,1990,inter,day,ethos,IMPGSL1,1990,GSL]
      1.5386644            V_FlowIn[utopia,1990,inter,day,ethos,IMPHCO1,1990,HCO]
      0.58738568           V_FlowIn[utopia,1990,inter,day,ethos,IMPHYD,1990,HYD]
      0.6532049428571429   V_FlowIn[utopia,1990,inter,night,DSL,RHO,1970,RH]
      0.6532049428571429   V_FlowIn[utopia,1990,inter,night,DSL,RHO,1980,RH]
      0.8535901142857144   V_FlowIn[utopia,1990,inter,night,DSL,RHO,1990,RH]
      0.14424242424242426  V_FlowIn[utopia,1990,inter,night,DSL,TXD,1970,TX]
      0.07212121212121213  V_FlowIn[utopia,1990,inter,night,DSL,TXD,1980,TX]
      0.059963961          V_FlowIn[utopia,1990,inter,night,ELC,E51,1980,ELC]
      0.186648             V_FlowIn[utopia,1990,inter,night,ELC,RL1,1980,RL]
      0.093352             V_FlowIn[utopia,1990,inter,night,ELC,RL1,1990,RL]
      1.117878787878788    V_FlowIn[utopia,1990,inter,night,GSL,TXG,1970,TX]
      0.5409090909090909   V_FlowIn[utopia,1990,inter,night,GSL,TXG,1980,TX]
      0.76887071875        V_FlowIn[utopia,1990,inter,night,HCO,E01,1970,ELC]
      0.225782046875       V_FlowIn[utopia,1990,inter,night,HYD,E31,1980,ELC]
      0.0677346125         V_FlowIn[utopia,1990,inter,night,HYD,E31,1990,ELC]
      2.3763636            V_FlowIn[utopia,1990,inter,night,ethos,IMPDSL1,1990,DSL]
      1.6587879            V_FlowIn[utopia,1990,inter,night,ethos,IMPGSL1,1990,GSL]
      0.76887072           V_FlowIn[utopia,1990,inter,night,ethos,IMPHCO1,1990,HCO]
      0.29351666           V_FlowIn[utopia,1990,inter,night,ethos,IMPHYD,1990,HYD]
      0.28865800865800867  V_FlowIn[utopia,1990,summer,day,DSL,TXD,1970,TX]
      0.14432900432900433  V_FlowIn[utopia,1990,summer,day,DSL,TXD,1980,TX]
      0.559944             V_FlowIn[utopia,1990,summer,day,ELC,RL1,1980,RL]
      0.280056             V_FlowIn[utopia,1990,summer,day,ELC,RL1,1990,RL]
      2.2370995670995666   V_FlowIn[utopia,1990,summer,day,GSL,TXG,1970,TX]
      1.0824675324675324   V_FlowIn[utopia,1990,summer,day,GSL,TXG,1980,TX]
      2.0376143124999997   V_FlowIn[utopia,1990,summer,day,HCO,E01,1960,ELC]
      0.45183515625        V_FlowIn[utopia,1990,summer,day,HYD,E31,1980,ELC]
      0.135550540625       V_FlowIn[utopia,1990,summer,day,HYD,E31,1990,ELC]
      0.43298701           V_FlowIn[utopia,1990,summer,day,ethos,IMPDSL1,1990,DSL]
      3.3195671            V_FlowIn[utopia,1990,summer,day,ethos,IMPGSL1,1990,GSL]
      2.0376143            V_FlowIn[utopia,1990,summer,day,ethos,IMPHCO1,1990,HCO]
      0.58738568           V_FlowIn[utopia,1990,summer,day,ethos,IMPHYD,1990,HYD]
      0.14424242424242426  V_FlowIn[utopia,1990,summer,night,DSL,TXD,1970,TX]
      0.07212121212121213  V_FlowIn[utopia,1990,summer,night,DSL,TXD,1980,TX]
      0.13974805           V_FlowIn[utopia,1990,summer,night,ELC,E51,1980,ELC]
      0.186648             V_FlowIn[utopia,1990,summer,night,ELC,RL1,1980,RL]
      0.093352             V_FlowIn[utopia,1990,summer,night,ELC,RL1,1990,RL]
      1.117878787878788    V_FlowIn[utopia,1990,summer,night,GSL,TXG,1970,TX]
      0.5409090909090909   V_FlowIn[utopia,1990,summer,night,GSL,TXG,1980,TX]
      1.018196             V_FlowIn[utopia,1990,summer,night,HCO,E01,1960,ELC]
      0.225782046875       V_FlowIn[utopia,1990,summer,night,HYD,E31,1980,ELC]
      0.0677346125         V_FlowIn[utopia,1990,summer,night,HYD,E31,1990,ELC]
      0.21636364           V_FlowIn[utopia,1990,summer,night,ethos,IMPDSL1,1990,DSL]
      1.6587879            V_FlowIn[utopia,1990,summer,night,ethos,IMPGSL1,1990,GSL]
      1.018196             V_FlowIn[utopia,1990,summer,night,ethos,IMPHCO1,1990,HCO]
      0.29351666           V_FlowIn[utopia,1990,summer,night,ethos,IMPHYD,1990,HYD]
      5.951785714285714    V_FlowIn[utopia,1990,winter,day,DSL,RHO,1970,RH]
      5.951785714285714    V_FlowIn[utopia,1990,winter,day,DSL,RHO,1980,RH]
      7.777628571428573    V_FlowIn[utopia,1990,winter,day,DSL,RHO,1990,RH]
      0.5771428571428571   V_FlowIn[utopia,1990,winter,day,DSL,TXD,1970,TX]
      0.28857142857142853  V_FlowIn[utopia,1990,winter,day,DSL,TXD,1980,TX]
      1.86648              V_FlowIn[utopia,1990,winter,day,ELC,RL1,1980,RL]
      0.93352              V_FlowIn[utopia,1990,winter,day,ELC,RL1,1990,RL]
      4.472857142857143    V_FlowIn[utopia,1990,winter,day,GSL,TXG,1970,TX]
      2.164285714285714    V_FlowIn[utopia,1990,winter,day,GSL,TXG,1980,TX]
      4.5991234375         V_FlowIn[utopia,1990,winter,day,HCO,E01,1970,ELC]
      1.62263334375        V_FlowIn[utopia,1990,winter,day,HCO,E01,1980,ELC]
      0.9033992500000001   V_FlowIn[utopia,1990,winter,day,HYD,E31,1980,ELC]
      0.27101976875        V_FlowIn[utopia,1990,winter,day,HYD,E31,1990,ELC]
     20.546914             V_FlowIn[utopia,1990,winter,day,ethos,IMPDSL1,1990,DSL]
      6.6371429            V_FlowIn[utopia,1990,winter,day,ethos,IMPGSL1,1990,GSL]
      6.2217567            V_FlowIn[utopia,1990,winter,day,ethos,IMPHCO1,1990,HCO]
      1.174419             V_FlowIn[utopia,1990,winter,day,ethos,IMPHYD,1990,HYD]
      2.9753485714285715   V_FlowIn[utopia,1990,winter,night,DSL,RHO,1970,RH]
      2.9753485714285715   V_FlowIn[utopia,1990,winter,night,DSL,RHO,1980,RH]
      3.8881030000000005   V_FlowIn[utopia,1990,winter,night,DSL,RHO,1990,RH]
      0.28865800865800867  V_FlowIn[utopia,1990,winter,night,DSL,TXD,1970,TX]
